,0
0,91
1,117
2,143
3,237
4,72
5,15
6,252
7,245
8,149
9,237
10,185
11,183
12,240
13,251
14,205
15,133
16,23
17,37
18,160
19,202
20,188
21,37
22,93
23,140
24,223
25,22
26,134
27,163
28,143
29,99
30,197
31,116
32,204
33,108
34,162
35,248
36,15
37,13
38,60
39,251
40,5
41,175
42,241
43,100
44,184
45,7
46,236
47,88
48,251
49,67
50,76
51,29
52,191
53,69
54,172
55,92
56,27
57,203
58,140
59,2
60,235
61,221
62,146
63,224
64,246
65,16
66,90
67,154
68,32
69,211
70,140
71,167
72,34
73,226
74,225
75,162
76,136
77,97
78,62
79,70
80,209
81,197
82,29
83,173
84,233
85,175
86,148
87,211
88,195
89,202
90,251
91,205
92,63
93,73
94,28
95,235
96,172
97,210
98,84
99,158
100,101
101,191
102,101
103,14
104,184
105,16
106,134
107,191
108,110
109,155
110,115
111,239
112,7
113,30
114,125
115,172
116,8
117,217
118,126
119,119
120,215
121,11
122,15
123,20
124,161
125,178
126,165
127,102
128,173
129,116
130,229
131,56
132,45
133,9
134,176
135,52
136,116
137,100
138,90
139,48
140,41
141,158
142,166
143,222
144,191
145,93
146,19
147,92
148,114
149,127
150,32
151,162
152,241
153,98
154,204
155,63
156,164
157,128
158,229
159,211
160,182
161,109
162,25
163,152
164,11
165,239
166,209
167,212
168,250
169,124
170,215
171,30
172,161
173,138
174,188
175,79
176,34
177,238
178,188
179,148
180,237
181,205
182,164
183,107
184,64
185,40
186,235
187,188
188,250
189,23
190,200
191,128
192,209
193,5
194,184
195,234
196,227
197,242
198,26
199,252
200,39
201,234
202,170
203,217
204,120
205,70
206,176
207,166
208,220
209,140
210,26
211,111
212,3
213,87
214,183
215,80
216,157
217,235
218,101
219,114
220,250
221,178
222,192
223,61
224,158
225,197
226,67
227,217
228,208
229,84
230,123
231,72
232,112
233,251
234,26
235,72
236,209
237,149
238,185
239,145
240,96
241,180
242,70
243,75
244,29
245,114
246,219
247,174
248,168
249,221
250,167
251,1
252,48
253,143
254,214
255,179
256,96
257,1
258,171
259,100
260,217
261,73
262,211
263,95
264,115
265,125
266,208
267,108
268,242
269,95
270,22
271,37
272,219
273,91
274,37
275,96
276,142
277,81
278,101
279,231
280,105
281,205
282,215
283,230
284,233
285,44
286,38
287,145
288,119
289,74
290,243
291,131
292,72
293,158
294,44
295,148
296,222
297,245
298,204
299,143
300,146
301,101
302,187
303,108
304,210
305,115
306,9
307,29
308,20
309,90
310,75
311,251
312,40
313,10
314,220
315,219
316,176
317,218
318,17
319,185
320,117
321,62
322,38
323,254
324,132
325,100
326,145
327,206
328,175
329,75
330,228
331,210
332,225
333,100
334,201
335,63
336,211
337,25
338,52
339,153
340,198
341,116
342,149
343,151
344,94
345,239
346,20
347,61
348,57
349,13
350,121
351,101
352,43
353,126
354,34
355,163
356,140
357,50
358,51
359,235
360,65
361,101
362,33
363,212
364,179
365,226
366,87
367,190
368,56
369,105
370,66
371,139
372,41
373,190
374,100
375,147
376,128
377,228
378,228
379,57
380,224
381,116
382,87
383,16
384,241
385,39
386,2
387,89
388,176
389,178
390,139
391,96
392,39
393,106
394,15
395,166
396,136
397,196
398,181
399,192
400,237
401,145
402,207
403,192
404,85
405,242
406,28
407,169
408,8
409,151
410,51
411,115
412,254
413,48
414,52
415,31
416,114
417,40
418,18
419,99
420,97
421,142
422,174
423,5
424,59
425,234
426,46
427,20
428,143
429,100
430,78
431,89
432,60
433,196
434,65
435,6
436,232
437,210
438,78
439,166
440,237
441,80
442,113
443,76
444,147
445,149
446,188
447,146
448,32
449,245
450,189
451,187
452,47
453,113
454,129
455,135
456,25
457,200
458,8
459,228
460,104
461,26
462,28
463,220
464,235
465,169
466,47
467,22
468,29
469,158
470,1
471,11
472,193
473,43
474,158
475,75
476,234
477,21
478,90
479,199
480,250
481,119
482,133
483,158
484,229
485,24
486,42
487,49
488,198
489,208
490,19
491,7
492,223
493,142
494,152
495,95
496,8
497,108
498,199
499,176
500,113
501,170
502,200
503,169
504,89
505,74
506,11
507,203
508,218
509,31
510,109
511,185
512,194
513,109
514,86
515,73
516,159
517,97
518,225
519,189
520,92
521,166
522,233
523,164
524,126
525,21
526,131
527,137
528,43
529,78
530,86
531,149
532,124
533,158
534,160
535,70
536,254
537,242
538,17
539,64
540,67
541,188
542,15
543,151
544,219
545,242
546,51
547,83
548,29
549,160
550,6
551,191
552,207
553,5
554,185
555,148
556,3
557,133
558,95
559,180
560,211
561,77
562,100
563,80
564,205
565,47
566,34
567,78
568,154
569,65
570,80
571,7
572,200
573,176
574,163
575,248
576,174
577,213
578,87
579,78
580,255
581,175
582,107
583,44
584,63
585,40
586,13
587,204
588,90
589,193
590,3
591,242
592,174
593,112
594,228
595,251
596,200
597,157
598,77
599,197
600,240
601,30
602,206
603,236
604,37
605,136
606,170
607,203
608,67
609,200
610,89
611,62
612,188
613,233
614,214
615,227
616,85
617,126
618,8
619,23
620,237
621,175
622,74
623,162
624,185
625,120
626,125
627,116
628,166
629,170
630,22
631,229
632,5
633,164
634,199
635,151
636,185
637,251
638,128
639,40
640,116
641,128
642,15
643,192
644,166
645,166
646,132
647,12
648,206
649,100
650,79
651,246
652,73
653,85
654,86
655,94
656,137
657,231
658,236
659,143
660,151
661,112
662,202
663,128
664,81
665,4
666,199
667,70
668,83
669,220
670,213
671,224
672,32
673,56
674,190
675,157
676,90
677,228
678,63
679,76
680,165
681,236
682,125
683,93
684,12
685,196
686,118
687,79
688,43
689,52
690,126
691,143
692,67
693,27
694,153
695,240
696,169
697,158
698,84
699,43
700,193
701,218
702,56
703,56
704,227
705,149
706,168
707,104
708,148
709,136
710,37
711,197
712,250
713,215
714,6
715,183
716,148
717,150
718,151
719,36
720,182
721,199
722,129
723,42
724,251
725,60
726,49
727,29
728,93
729,138
730,254
731,170
732,236
733,161
734,91
735,106
736,13
737,227
738,108
739,85
740,103
741,199
742,106
743,155
744,195
745,147
746,186
747,224
748,68
749,55
750,92
751,186
752,237
753,50
754,46
755,231
756,189
757,144
758,226
759,22
760,15
761,30
762,228
763,224
764,82
765,165
766,156
767,201
768,124
769,70
770,175
771,230
772,40
773,228
774,133
775,53
776,213
777,29
778,96
779,169
780,184
781,243
782,48
783,78
784,243
785,137
786,224
787,104
788,147
789,15
790,172
791,181
792,105
793,75
794,129
795,2
796,88
797,43
798,15
799,140
800,88
801,233
802,51
803,171
804,85
805,5
806,2
807,149
808,25
809,153
810,111
811,187
812,8
813,221
814,168
815,152
816,223
817,247
818,86
819,4
820,229
821,67
822,196
823,2
824,31
825,124
826,27
827,47
828,35
829,2
830,54
831,83
832,61
833,7
834,36
835,207
836,117
837,73
838,144
839,67
840,26
841,35
842,153
843,174
844,192
845,157
846,52
847,146
848,224
849,80
850,240
851,138
852,212
853,221
854,58
855,251
856,158
857,90
858,141
859,48
860,36
861,181
862,151
863,95
864,155
865,53
866,37
867,234
868,245
869,55
870,89
871,73
872,15
873,123
874,42
875,110
876,30
877,52
878,25
879,165
880,35
881,93
882,4
883,93
884,101
885,48
886,76
887,37
888,181
889,229
890,115
891,203
892,13
893,215
894,117
895,206
896,25
897,88
898,9
899,50
900,180
901,15
902,121
903,95
904,179
905,163
906,230
907,42
908,208
909,203
910,13
911,135
912,89
913,136
914,15
915,245
916,159
917,235
918,102
919,181
920,96
921,35
922,56
923,1
924,127
925,139
926,150
927,145
928,91
929,187
930,208
931,100
932,204
933,53
934,75
935,185
936,128
937,48
938,132
939,243
940,251
941,152
942,89
943,191
944,210
945,241
946,206
947,148
948,172
949,194
950,185
951,115
952,179
953,231
954,20
955,189
956,54
957,68
958,239
959,47
960,17
961,136
962,125
963,219
964,252
965,6
966,229
967,87
968,93
969,213
970,71
971,229
972,184
973,120
974,160
975,164
976,230
977,251
978,202
979,42
980,250
981,91
982,134
983,247
984,106
985,174
986,63
987,250
988,101
989,159
990,139
991,230
992,223
993,214
994,198
995,151
996,19
997,38
998,248
999,98
1000,207
1001,96
1002,238
1003,120
1004,17
1005,202
1006,192
1007,214
1008,85
1009,140
1010,104
1011,149
1012,54
1013,122
1014,118
1015,166
1016,42
1017,65
1018,164
1019,215
1020,145
1021,72
1022,178
1023,47
1024,78
1025,122
1026,204
1027,61
1028,103
1029,201
1030,55
1031,178
1032,116
1033,127
1034,59
1035,27
1036,239
1037,68
1038,251
1039,104
1040,67
1041,130
1042,12
1043,95
1044,10
1045,188
1046,46
1047,119
1048,242
1049,45
1050,162
1051,111
1052,206
1053,91
1054,14
1055,166
1056,88
1057,150
1058,150
1059,60
1060,154
1061,211
1062,33
1063,182
1064,188
1065,199
1066,183
1067,213
1068,22
1069,75
1070,251
1071,183
1072,78
1073,26
1074,32
1075,85
1076,38
1077,51
1078,216
1079,70
1080,185
1081,158
1082,243
1083,88
1084,28
1085,213
1086,167
1087,198
1088,153
1089,96
1090,54
1091,91
1092,99
1093,73
1094,120
1095,17
1096,244
1097,234
1098,6
1099,42
1100,127
1101,23
1102,16
1103,46
1104,23
1105,133
1106,203
1107,32
1108,223
1109,214
1110,217
1111,145
1112,135
1113,190
1114,2
1115,240
1116,207
1117,92
1118,205
1119,139
1120,12
1121,243
1122,21
1123,94
1124,21
1125,39
1126,218
1127,163
1128,101
1129,27
1130,71
1131,121
1132,82
1133,164
1134,141
1135,227
1136,111
1137,231
1138,168
1139,192
1140,17
1141,252
1142,250
1143,89
1144,13
1145,201
1146,126
1147,38
1148,91
1149,229
1150,120
1151,176
1152,145
1153,11
1154,61
1155,35
1156,100
1157,115
1158,85
1159,126
1160,241
1161,253
1162,103
1163,189
1164,237
1165,114
1166,134
1167,216
1168,84
1169,5
1170,112
1171,38
1172,158
1173,16
1174,92
1175,51
1176,255
1177,132
1178,98
1179,105
1180,79
1181,204
1182,99
1183,140
1184,169
1185,139
1186,136
1187,121
1188,176
1189,68
1190,36
1191,12
1192,124
1193,16
1194,31
1195,10
1196,110
1197,161
1198,161
1199,38
1200,44
1201,20
1202,178
1203,161
1204,225
1205,88
1206,8
1207,103
1208,255
1209,73
1210,34
1211,234
1212,139
1213,246
1214,63
1215,180
1216,67
1217,169
1218,27
1219,110
1220,142
1221,224
1222,73
1223,216
1224,55
1225,38
1226,179
1227,33
1228,109
1229,143
1230,7
1231,166
1232,59
1233,151
1234,125
1235,87
1236,51
1237,128
1238,181
1239,205
1240,209
1241,1
1242,26
1243,95
1244,114
1245,200
1246,206
1247,248
1248,42
1249,160
1250,150
1251,226
1252,91
1253,17
1254,135
1255,226
1256,178
1257,132
1258,88
1259,42
1260,223
1261,128
1262,234
1263,89
1264,180
1265,255
1266,62
1267,199
1268,145
1269,124
1270,101
1271,143
1272,75
1273,186
1274,121
1275,39
1276,205
1277,63
1278,98
1279,200
1280,97
1281,110
1282,144
1283,172
1284,241
1285,95
1286,108
1287,34
1288,103
1289,31
1290,75
1291,224
1292,238
1293,209
1294,35
1295,41
1296,251
1297,204
1298,197
1299,216
1300,100
1301,91
1302,238
1303,249
1304,211
1305,42
1306,227
1307,221
1308,198
1309,74
1310,183
1311,71
1312,140
1313,64
1314,199
1315,231
1316,231
1317,205
1318,210
1319,134
1320,217
1321,179
1322,15
1323,38
1324,165
1325,128
1326,101
1327,209
1328,64
1329,108
1330,103
1331,70
1332,179
1333,47
1334,149
1335,126
1336,27
1337,28
1338,125
1339,234
1340,58
1341,244
1342,72
1343,240
1344,70
1345,26
1346,145
1347,33
1348,64
1349,184
1350,211
1351,84
1352,149
1353,226
1354,228
1355,243
1356,88
1357,164
1358,65
1359,167
1360,195
1361,13
1362,202
1363,61
1364,83
1365,159
1366,65
1367,95
1368,11
1369,190
1370,63
1371,93
1372,205
1373,93
1374,10
1375,60
1376,168
1377,78
1378,24
1379,248
1380,79
1381,221
1382,81
1383,49
1384,179
1385,16
1386,105
1387,207
1388,149
1389,39
1390,146
1391,244
1392,195
1393,137
1394,4
1395,170
1396,200
1397,160
1398,55
1399,255
1400,140
1401,117
1402,249
1403,241
1404,193
1405,250
1406,174
1407,64
1408,224
1409,77
1410,143
1411,178
1412,131
1413,6
1414,212
1415,94
1416,65
1417,190
1418,169
1419,111
1420,197
1421,59
1422,46
1423,102
1424,19
1425,143
1426,194
1427,106
1428,231
1429,85
